date,GPRD
2015-01-01,74.5793838500977
2015-01-02,106.85701751709
2015-01-03,53.4285087585449
2015-01-04,16.4804363250732
2015-01-05,100.71996307373
2015-01-06,66.8241348266602
2015-01-07,78.7603530883789
2015-01-08,168.63981628418
2015-01-09,64.7143859863281
2015-01-10,138.746292114258
2015-01-11,96.1236114501953
2015-01-12,148.078353881836
2015-01-13,151.555389404297
2015-01-14,88.3912582397461
2015-01-15,132.789825439453
2015-01-16,156.109512329102
2015-01-17,108.232406616211
2015-01-18,78.126594543457
2015-01-19,120.258239746094
2015-01-20,175.291915893555
2015-01-21,148.508636474609
2015-01-22,98.5432052612305
2015-01-23,109.11988067627
2015-01-24,97.7158584594727
2015-01-25,110.418930053711
2015-01-26,135.926040649414
2015-01-27,95.1626815795898
2015-01-28,146.459426879883
2015-01-29,105.280242919922
2015-01-30,126.521682739258
2015-01-31,60.167724609375
2015-02-01,114.226470947266
2015-02-02,101.147102355957
2015-02-03,141.251174926758
2015-02-04,90.6961212158203
2015-02-05,89.4281463623047
2015-02-06,166.440292358398
2015-02-07,116.95133972168
2015-02-08,107.087310791016
2015-02-09,128.994064331055
2015-02-10,134.228500366211
2015-02-11,110.845245361328
2015-02-12,76.6122512817383
2015-02-13,139.639846801758
2015-02-14,60.3504219055176
2015-02-15,70.781364440918
2015-02-16,102.5166015625
2015-02-17,123.745338439941
2015-02-18,154.672424316406
2015-02-19,143.860076904297
2015-02-20,136.849700927734
2015-02-21,72.0123443603516
2015-02-22,83.685920715332
2015-02-23,168.176513671875
2015-02-24,149.088836669922
2015-02-25,114.378173828125
2015-02-26,95.0626525878906
2015-02-27,105.936981201172
2015-02-28,51.5574722290039
2015-03-01,111.409225463867
2015-03-02,105.465255737305
2015-03-03,149.373077392578
2015-03-04,218.318786621094
2015-03-05,77.4869613647461
2015-03-06,86.0407180786133
2015-03-07,59.0974540710449
2015-03-08,86.0407180786133
2015-03-09,79.8209075927734
2015-03-10,89.771484375
2015-03-11,78.0447845458984
2015-03-12,105.607902526855
2015-03-13,67.847770690918
2015-03-14,66.8850021362305
2015-03-15,116.685356140137
2015-03-16,109.260101318359
2015-03-17,97.2921981811523
2015-03-18,117.374450683594
2015-03-19,55.8667182922363
2015-03-20,94.7625045776367
2015-03-21,74.5594024658203
2015-03-22,78.8706588745117
2015-03-23,98.2957763671875
2015-03-24,100.380844116211
2015-03-25,105.379058837891
2015-03-26,103.406311035156
2015-03-27,199.252197265625
2015-03-28,91.8117446899414
2015-03-29,129.144943237305
2015-03-30,123.235404968262
2015-03-31,131.056579589844
2015-04-01,138.928131103516
2015-04-02,113.846565246582
2015-04-03,150.144714355469
2015-04-04,165.628387451172
2015-04-05,116.457458496094
2015-04-06,116.789253234863
2015-04-07,110.12525177002
2015-04-08,166.755096435547
2015-04-09,134.81379699707
2015-04-10,142.13639831543
2015-04-11,74.8804321289063
2015-04-12,53.0010871887207
2015-04-13,79.2243423461914
2015-04-14,121.647964477539
2015-04-15,143.657272338867
2015-04-16,104.717636108398
2015-04-17,99.0600357055664
2015-04-18,47.4789199829102
2015-04-19,97.8120422363281
2015-04-20,91.7326431274414
2015-04-21,85.2829055786133
2015-04-22,75.5887985229492
2015-04-23,61.0777091979981
2015-04-24,156.404525756836
2015-04-25,41.4542045593262
2015-04-26,39.2794570922852
2015-04-27,76.0417251586914
2015-04-28,46.0078849792481
2015-04-29,84.0990371704102
2015-04-30,52.7478942871094
2015-05-01,76.2386093139648
2015-05-02,41.4542045593262
2015-05-03,43.8335990905762
2015-05-04,70.595703125
2015-05-05,44.7644309997559
2015-05-06,99.6942443847656
2015-05-07,64.2849884033203
2015-05-08,71.7523727416992
2015-05-09,50.0736961364746
2015-05-10,52.5804443359375
2015-05-11,118.674545288086
2015-05-12,62.166145324707
2015-05-13,114.384239196777
2015-05-14,77.4653930664063
2015-05-15,95.2363204956055
2015-05-16,78.1936645507813
2015-05-17,76.887451171875
2015-05-18,112.11767578125
2015-05-19,128.435577392578
2015-05-20,71.4640197753906
2015-05-21,56.7868728637695
2015-05-22,84.2892532348633
2015-05-23,80.7943344116211
2015-05-24,63.1633644104004
2015-05-25,86.6840133666992
2015-05-26,37.399959564209
2015-05-27,83.2768402099609
2015-05-28,55.8925895690918
2015-05-29,55.4736213684082
2015-05-30,68.61474609375
2015-05-31,84.0397720336914
2015-06-01,106.233947753906
2015-06-02,65.3465576171875
2015-06-03,129.118896484375
2015-06-04,84.1287078857422
2015-06-05,62.501277923584
2015-06-06,36.6840286254883
2015-06-07,86.6030807495117
2015-06-08,81.7917938232422
2015-06-09,95.4630432128906
2015-06-10,48.5843238830566
2015-06-11,54.9651718139648
2015-06-12,41.6437110900879
2015-06-13,56.1452140808106
2015-06-14,64.6985855102539
2015-06-15,63.1968383789063
2015-06-16,114.226470947266
2015-06-17,79.9279098510742
2015-06-18,83.0851211547852
2015-06-19,44.27490234375
2015-06-20,99.4535293579102
2015-06-21,74.6685333251953
2015-06-22,90.6822052001953
2015-06-23,103.517738342285
2015-06-24,84.8168106079102
2015-06-25,131.005493164063
2015-06-26,81.4899826049805
2015-06-27,78.126594543457
2015-06-28,109.960762023926
2015-06-29,136.926483154297
2015-06-30,169.318664550781
2015-07-01,93.1406555175781
2015-07-02,84.5605545043945
2015-07-03,86.9549026489258
2015-07-04,50.1213836669922
2015-07-05,80.4021224975586
2015-07-06,109.325668334961
2015-07-07,82.0898666381836
2015-07-08,61.7839012145996
2015-07-09,58.6295166015625
2015-07-10,107.38996887207
2015-07-11,81.5520782470703
2015-07-12,105.272277832031
2015-07-13,123.067527770996
2015-07-14,67.7021102905273
2015-07-15,229.977996826172
2015-07-16,117.649467468262
2015-07-17,146.960433959961
2015-07-18,63.4743537902832
2015-07-19,98.672233581543
2015-07-20,125.31095123291
2015-07-21,193.979187011719
2015-07-22,152.954971313477
2015-07-23,87.7224731445313
2015-07-24,113.35782623291
2015-07-25,92.1270370483398
2015-07-26,127.406455993652
2015-07-27,171.43505859375
2015-07-28,132.928070068359
2015-07-29,99.9481582641602
2015-07-30,74.9848861694336
2015-07-31,72.2742004394531
2015-08-01,64.0109710693359
2015-08-02,69.5552291870117
2015-08-03,28.4584846496582
2015-08-04,155.103500366211
2015-08-05,77.8283157348633
2015-08-06,128.799728393555
2015-08-07,90.1378936767578
2015-08-08,68.7590408325195
2015-08-09,85.3354644775391
2015-08-10,88.9279937744141
2015-08-11,93.7984924316406
2015-08-12,97.4284591674805
2015-08-13,110.113052368164
2015-08-14,78.3221817016602
2015-08-15,47.8349113464356
2015-08-16,71.2380142211914
2015-08-17,95.6089096069336
2015-08-18,88.5434722900391
